target,seed,coverage,risk
ddr,1,8.048937540244688e-05,1.0
ddr,1,0.00016097875080489375,1.0
ddr,1,0.00024146812620734064,0.6666666666666666
ddr,1,0.0003219575016097875,0.5
ddr,1,0.00040244687701223436,0.6
ddr,1,0.0004829362524146813,0.6666666666666666
ddr,1,0.0005634256278171281,0.7142857142857143
ddr,1,0.000643915003219575,0.75
ddr,1,0.0007244043786220219,0.6666666666666666
ddr,1,0.0008048937540244687,0.7
ddr,1,0.0008853831294269157,0.6363636363636364
ddr,1,0.0009658725048293626,0.5833333333333334
ddr,1,0.0010463618802318093,0.5384615384615384
ddr,1,0.0011268512556342563,0.5
ddr,1,0.0012073406310367032,0.5333333333333333
ddr,1,0.00128783000643915,0.5
ddr,1,0.001368319381841597,0.47058823529411764
ddr,1,0.0014488087572440437,0.4444444444444444
ddr,1,0.0015292981326464907,0.42105263157894735
ddr,1,0.0016097875080489374,0.4
ddr,1,0.0016902768834513844,0.38095238095238093
ddr,1,0.0017707662588538314,0.36363636363636365
ddr,1,0.0018512556342562781,0.34782608695652173
ddr,1,0.0019317450096587251,0.3333333333333333
ddr,1,0.002012234385061172,0.32
ddr,1,0.0020927237604636186,0.3076923076923077
ddr,1,0.0021732131358660656,0.2962962962962963
ddr,1,0.0022537025112685126,0.2857142857142857
ddr,1,0.0023341918866709595,0.27586206896551724
ddr,1,0.0024146812620734065,0.26666666666666666
ddr,1,0.002495170637475853,0.25806451612903225
ddr,1,0.0025756600128783,0.25
ddr,1,0.002656149388280747,0.24242424242424243
ddr,1,0.002736638763683194,0.23529411764705882
ddr,1,0.0028171281390856405,0.22857142857142856
ddr,1,0.0028976175144880875,0.25
ddr,1,0.0029781068898905344,0.24324324324324326
ddr,1,0.0030585962652929814,0.23684210526315788
ddr,1,0.0031390856406954284,0.23076923076923078
ddr,1,0.003219575016097875,0.225
ddr,1,0.003300064391500322,0.21951219512195122
ddr,1,0.003380553766902769,0.21428571428571427
ddr,1,0.003461043142305216,0.23255813953488372
ddr,1,0.0035415325177076628,0.22727272727272727
ddr,1,0.0036220218931101093,0.24444444444444444
ddr,1,0.0037025112685125563,0.2391304347826087
